column_name,value,label_en,label_es,value_recoded
a4,1,Economy,Economía,1
a4,2,Economy,Economía,1
a4,3,Economy,Economía,1
a4,4,Economy,Economía,1
a4,7,Economy,Economía,1
a4,9,Economy,Economía,1
a4,26,Economy,Economía,1
a4,1082,Economy,Economía,1
a4,1092,Economy,Economía,1
a4,1562,Economy,Economía,1
a4,1563,Economy,Economía,1
a4,1697,Economy,Economía,1
a4,10105,Economy,Economía,1
a4,5,Security,Seguridad,2
a4,14,Security,Seguridad,2
a4,17,Security,Seguridad,2
a4,27,Security,Seguridad,2
a4,31,Security,Seguridad,2
a4,33,Security,Seguridad,2
a4,57,Security,Seguridad,2
a4,80,Security,Seguridad,2
a4,862,Security,Seguridad,2
a4,863,Security,Seguridad,2
a4,1091,Security,Seguridad,2
a4,1165,Security,Seguridad,2
a4,1687,Security,Seguridad,2
a4,18,Basic Services,Servicios básicos,3
a4,19,Basic Services,Servicios básicos,3
a4,21,Basic Services,Servicios básicos,3
a4,22,Basic Services,Servicios básicos,3
a4,23,Basic Services,Servicios básicos,3
a4,24,Basic Services,Servicios básicos,3
a4,55,Basic Services,Servicios básicos,3
a4,60,Basic Services,Servicios básicos,3
a4,1564,Basic Services,Servicios básicos,3
a4,13,Politics,Política,4
a4,15,Politics,Política,4
a4,30,Politics,Política,4
a4,56,Politics,Política,4
a4,59,Politics,Política,4
a4,61,Politics,Política,4
a4,471,Politics,Política,4
a4,472,Politics,Política,4
a4,474,Politics,Política,4
a4,1071,Politics,Política,4
a4,1076,Politics,Política,4
a4,1077,Politics,Política,4
a4,1078,Politics,Política,4
a4,1079,Politics,Política,4
a4,1083,Politics,Política,4
a4,1084,Politics,Política,4
a4,1085,Politics,Política,4
a4,1689,Politics,Política,4
a4,10102,Politics,Política,4
a4,6,Other,Otros,5
a4,10,Other,Otros,5
a4,11,Other,Otros,5
a4,12,Other,Otros,5
a4,16,Other,Otros,5
a4,20,Other,Otros,5
a4,25,Other,Otros,5
a4,32,Other,Otros,5
a4,58,Other,Otros,5
a4,70,Other,Otros,5
a4,864,Other,Otros,5
a4,865,Other,Otros,5
a4,1081,Other,Otros,5
a4,1362,Other,Otros,5
a4,1471,Other,Otros,5
a4,1496,Other,Otros,5
a4,2262,Other,Otros,5
a4,2465,Other,Otros,5
a4,2466,Other,Otros,5
a4,10101,Other,Otros,5
a4,10106,Other,Otros,5
a4,10107,Other,Otros,5
a4,10108,Other,Otros,5
aoj11,4,Very Unsafe,Muy inseguro(a),0
aoj11,3,Somewhat Unsafe,Algo inseguro(a),33.33333
aoj11,2,Somewhat Safe,Algo seguro(a),66.66666
aoj11,1,Very Safe,Muy seguro(a),100
aoj12,4,None,Nada,0
aoj12,3,Little,Poco,33.33333
aoj12,2,Some,Algo,66.66666
aoj12,1,A lot,Mucho,100
b0,1,Not at All,Nada,0
b0,2,2,2,16.66667
b0,3,3,3,33.33333
b0,4,4,4,50
b0,5,5,5,66.66666
b0,6,6,6,83.33334
b0,7,A Lot,Mucho,100
b1,1,Not at All,Nada,0
b1,2,2,2,16.66667
b1,3,3,3,33.33333
b1,4,4,4,50
b1,5,5,5,66.66666
b1,6,6,6,83.33334
b1,7,A Lot,Mucho,100
b12,1,Not at All,Nada,0
b12,2,2,2,16.66667
b12,3,3,3,33.33333
b12,4,4,4,50
b12,5,5,5,66.66666
b12,6,6,6,83.33334
b12,7,A Lot,Mucho,100
b13,1,Not at All,Nada,0
b13,2,2,2,16.66667
b13,3,3,3,33.33333
b13,4,4,4,50
b13,5,5,5,66.66666
b13,6,6,6,83.33334
b13,7,A Lot,Mucho,100
b18,1,Not at All,Nada,0
b18,2,2,2,16.66667
b18,3,3,3,33.33333
b18,4,4,4,50
b18,5,5,5,66.66666
b18,6,6,6,83.33334
b18,7,A Lot,Mucho,100
b2,1,Not at All,Nada,0
b2,2,2,2,16.66667
b2,3,3,3,33.33333
b2,4,4,4,50
b2,5,5,5,66.66666
b2,6,6,6,83.33334
b2,7,A Lot,Mucho,100
b21,1,Not at All,Nada,0
b21,2,2,2,16.66667
b21,3,3,3,33.33333
b21,4,4,4,50
b21,5,5,5,66.66666
b21,6,6,6,83.33334
b21,7,A Lot,Mucho,100
b21a,1,Not at All,Nada,0
b21a,2,2,2,16.66667
b21a,3,3,3,33.33333
b21a,4,4,4,50
b21a,5,5,5,66.66666
b21a,6,6,6,83.33334
b21a,7,A Lot,Mucho,100
b3,1,Not at All,Nada,0
b3,2,2,2,16.66667
b3,3,3,3,33.33333
b3,4,4,4,50
b3,5,5,5,66.66666
b3,6,6,6,83.33334
b3,7,A Lot,Mucho,100
b31,1,Not at All,Nada,0
b31,2,2,2,16.66667
b31,3,3,3,33.33333
b31,4,4,4,50
b31,5,5,5,66.66666
b31,6,6,6,83.33334
b31,7,A Lot,Mucho,100
b32,1,Not at All,Nada,0
b32,2,2,2,16.66667
b32,3,3,3,33.33333
b32,4,4,4,50
b32,5,5,5,66.66666
b32,6,6,6,83.33334
b32,7,A Lot,Mucho,100
b37,1,Not at All,Nada,0
b37,2,2,2,16.66667
b37,3,3,3,33.33333
b37,4,4,4,50
b37,5,5,5,66.66666
b37,6,6,6,83.33334
b37,7,A Lot,Mucho,100
b4,1,Not at All,Nada,0
b4,2,2,2,16.66667
b4,3,3,3,33.33333
b4,4,4,4,50
b4,5,5,5,66.66666
b4,6,6,6,83.33334
b4,7,A Lot,Mucho,100
b47a,1,Not at All,Nada,0
b47a,2,2,2,16.66667
b47a,3,3,3,33.33333
b47a,4,4,4,50
b47a,5,5,5,66.66666
b47a,6,6,6,83.33334
b47a,7,A Lot,Mucho,100
b6,1,Not at All,Nada,0
b6,2,2,2,16.66667
b6,3,3,3,33.33333
b6,4,4,4,50
b6,5,5,5,66.66666
b6,6,6,6,83.33334
b6,7,A Lot,Mucho,100
cct1b,2,No,No,0
cct1b,1,Yes,Sí,100
colorr,1,Very Light,Más claro,
colorr,2,2,2,
colorr,3,3,3,
colorr,4,4,4,
colorr,5,5,5,
colorr,6,6,6,
colorr,7,7,7,
colorr,8,8,8,
colorr,9,9,9,
colorr,10,10,10,
colorr,11,Very Dark,Más oscuro,
colorr,12,12,12,
conocim,1,Very High,Muy alto,
conocim,2,High,Alto,
conocim,3,Neither High Nor Low,Ni alto ni bajo,
conocim,4,Low,Bajo,
conocim,5,Very Low,Muy bajo,
cp13,1,Once a Week,Una vez a la semana,
cp13,2,Once or Twice a Month,Una o dos veces al mes,
cp13,3,Once or Twice a Year,Una o dos veces al año,
cp13,4,Never,Nunca,
cp6,1,Once a Week,Una vez a la semana,
cp6,2,Once or Twice a Month,Una o dos veces al mes,
cp6,3,Once or Twice a Year,Una o dos veces al año,
cp6,4,Never,Nunca,
cp7,1,Once a Week,Una vez a la semana,
cp7,2,Once or Twice a Month,Una o dos veces al mes,
cp7,3,Once or Twice a Year,Una o dos veces al año,
cp7,4,Never,Nunca,
cp8,1,Once a Week,Una vez a la semana,
cp8,2,Once or Twice a Month,Una o dos veces al mes,
cp8,3,Once or Twice a Year,Una o dos veces al año,
cp8,4,Never,Nunca,
d1,1,Strongly disapprove,Desaprueba firmemente,0
d1,2,2,2,11.11111
d1,3,3,3,22.22222
d1,4,4,4,33.33333
d1,5,5,5,44.44444
d1,6,6,6,55.55556
d1,7,7,7,66.66666
d1,8,8,8,77.77778
d1,9,9,9,88.88889
d1,10,Strongly approve,Aprueba firmemente,100
d2,1,Strongly disapprove,Desaprueba firmemente,0
d2,2,2,2,11.11111
d2,3,3,3,22.22222
d2,4,4,4,33.33333
d2,5,5,5,44.44444
d2,6,6,6,55.55556
d2,7,7,7,66.66666
d2,8,8,8,77.77778
d2,9,9,9,88.88889
